,strategy,gov_policy,latent,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
83,S3,test_based_TTI,2,1.356288432404033,4.032555282555283,134.66400000000002,20.616,90.372,2384.304,78.78,25.848000000000003,21.835092203504146,4.600456981050662
84,S3,test_based_TTI,3,1.2690389122092176,3.830620855937312,143.388,21.948,89.46000000000001,2486.9759999999997,76.25999999999999,22.572,22.572,5.851973335738951
85,S3,test_based_TTI,3,1.1644715479990064,3.8313479623824453,134.256,22.128,90.552,2370.816,73.332,24.108,20.808,6.128014571299073
86,S3,test_based_TTI,4,1.2179867079136504,3.9870609981515712,141.516,19.668,89.79599999999999,2444.9280000000003,77.652,26.22,21.144,6.566490876673809
87,S3,test_based_TTI,4,1.2767480413021806,3.896969696969697,154.38,21.732000000000003,90.67200000000001,2608.2,77.16,22.296,22.692,6.892388782216882
88,S3,test_based_TTI_test_contacts,1,1.3996085662635398,4.014660965180208,149.856,19.824,207.084,1061.976,78.864,25.872,21.767751138720634,3.7303381855983746
89,S3,test_based_TTI_test_contacts,1,1.381717667845494,3.891383495145631,149.832,25.056,208.26,1096.5120000000002,76.956,24.012,22.166767544397704,3.4523838562897873
90,S3,test_based_TTI_test_contacts,2,1.367409711130857,3.9761478831246273,158.964,24.204,217.21200000000002,1096.248,80.01599999999999,24.168,22.922019864555388,5.408227108647249
91,S3,test_based_TTI_test_contacts,2,1.3199035097275433,3.732165206508135,130.104,21.84,193.068,1030.776,71.56800000000001,22.02,19.767710644204975,4.4698196532596315
92,S3,test_based_TTI_test_contacts,3,1.3256746149651049,3.948356807511737,148.692,19.68,204.912,1074.264,80.73599999999999,25.584,21.972,6.072605473193569
93,S3,test_based_TTI_test_contacts,3,1.1791623369271935,3.778733866011063,140.796,22.008000000000003,201.936,1069.8,73.776,23.663999999999998,21.299999999999997,5.790034533833518
94,S3,test_based_TTI_test_contacts,4,1.3047922078530152,4.0078740157480315,134.94,18.6,194.17200000000003,1047.648,79.404,26.927999999999997,20.387999999999998,6.237456778016109
95,S3,test_based_TTI_test_contacts,4,1.2575698657119287,3.8874538745387452,142.18800000000002,22.476,202.38000000000002,1087.512,75.852,22.512,21.528,7.274296780228905
96,S4,no_TTI,1,1.132021165800369,3.7778436018957344,0.0,0.0,0.0,810.96,76.524,38.208,15.385779265547734,7.993605777301126e-18
97,S4,no_TTI,1,1.1842902924041407,4.009179926560588,0.0,0.0,0.0,820.0319999999999,78.612,40.2,15.190435946539623,1.4654943925052067e-17
98,S4,no_TTI,2,1.0531805794676625,3.8009506833036246,0.0,0.0,0.0,849.504,76.76400000000001,39.696,15.797965017071089,9.325873406851316e-18
99,S4,no_TTI,2,1.171154329621183,3.87111892208553,0.0,0.0,0.0,825.768,79.296,38.928000000000004,16.378074712039687,2.531308496145357e-17
100,S4,no_TTI,3,1.0940325497287522,3.68836648583484,0.0,0.0,0.0,818.136,73.428,37.308,14.34,0.0
101,S4,no_TTI,3,1.2113564668769716,4.138170347003155,0.0,0.0,0.0,821.952,78.708,39.384,16.284,0.0
102,S4,no_TTI,4,1.2,3.8336283185840707,0.0,0.0,0.0,824.76,77.976,36.3,17.268,0.0
103,S4,no_TTI,4,1.145719489981785,3.849423193685489,0.0,0.0,0.0,842.712,76.08,37.26,16.176000000000002,0.0
104,S4,symptom_based_TTI,1,0.9937851450492855,3.8930513595166163,969.18,133.84799999999998,89.364,3411.888,77.316,37.32,15.97549568006714,4.283931339254081
105,S4,symptom_based_TTI,1,0.9830685586405303,3.8748544819557624,885.3960000000001,122.796,89.16,3178.2960000000003,79.884,39.144,16.616728218319267,3.856330376747606
106,S4,symptom_based_TTI,2,0.889829777385358,3.876132930513595,962.4480000000001,137.988,90.05999999999999,3396.5280000000002,76.97999999999999,38.34,16.469401423854556,4.498579197272251
107,S4,symptom_based_TTI,2,0.8945736469529394,3.7947464874770924,904.344,126.94800000000001,89.952,3224.784,74.544,36.888,15.303710644204978,4.779284635051513
108,S4,symptom_based_TTI,3,0.8806594340598767,3.8665858095815646,913.2239999999999,126.38399999999999,90.78,3296.856,76.512,37.08,16.968,5.037511118823172
109,S4,symptom_based_TTI,3,0.940288339792226,3.9066265060240966,879.78,126.83999999999999,88.824,3131.4480000000003,77.82,39.324,15.108,4.65745627133887
110,S4,symptom_based_TTI,4,0.9993979530403372,3.9578567128236,906.588,121.176,89.376,3274.44,78.888,36.648,16.956,5.364
