,strategy,gov_policy,app,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
126,S2,test_based_TTI_test_contacts,0.1,1.8281205854603053,4.0964649490713,183.48,2.1479999999999997,233.13600000000002,1124.448,82.044,11.508,28.35842960034362,5.563971314057363
127,S2,test_based_TTI_test_contacts,0.1,1.6741416573078427,3.7443384982121573,163.68,2.6999999999999997,216.396,1062.4080000000001,75.396,10.44,25.84961848035534,5.395865108093925
128,S2,test_based_TTI_test_contacts,0.2,1.7411902580321594,3.8478787878787877,165.63600000000002,7.404,219.348,1071.312,76.188,9.876,26.77980215876947,5.056630732193752
129,S2,test_based_TTI_test_contacts,0.2,1.823224591135221,4.1392791692119735,174.684,8.892,225.648,1109.472,81.312,9.815999999999999,29.600072551733458,6.080503580006216
130,S2,test_based_TTI_test_contacts,0.3,1.675422233446447,3.780473013947847,159.0,15.264000000000001,214.99200000000002,1060.896,74.80799999999999,11.256,25.77359044765496,4.625154396906704
131,S2,test_based_TTI_test_contacts,0.3,1.6758610637965652,3.655151876116736,162.144,16.932000000000002,217.83599999999998,1078.584,73.644,9.12,25.695598131950202,5.063153154676564
132,S2,test_based_TTI_test_contacts,0.4,1.7146821745529781,3.9968789013732833,180.504,38.903999999999996,236.244,1133.328,76.836,9.948,27.79025363010104,6.134696246292461
133,S2,test_based_TTI_test_contacts,0.4,1.7311421145939876,3.9205219454329776,174.528,31.823999999999998,231.528,1116.504,79.32000000000001,11.1,27.429844899805488,5.765687837728907
134,S2,test_based_TTI_test_contacts,0.5,1.873268250456682,4.1355828220858895,174.72,61.13999999999999,235.164,1125.624,80.89200000000001,10.932,27.306810723453413,6.0120622976138725
135,S2,test_based_TTI_test_contacts,0.5,1.7347247696086603,3.7974452554744524,191.832,62.111999999999995,248.47200000000004,1146.288,74.916,8.040000000000001,26.02374081014878,6.62960893501148
136,S2,test_based_TTI_test_contacts,0.6,1.5965056159747555,3.783462224866151,193.368,82.056,251.808,1164.576,76.32000000000001,8.988,28.035656570449248,7.091632144107963
137,S2,test_based_TTI_test_contacts,0.6,1.7519718816109022,3.979954180985109,175.692,79.356,237.024,1152.672,83.38799999999999,12.324,28.10051735657141,6.25616777991692
138,S2,test_based_TTI_test_contacts,0.7,1.661165503428237,3.818455971049457,169.296,104.028,238.296,1129.848,75.972,9.612,26.930767396332307,6.378683747459451
139,S2,test_based_TTI_test_contacts,0.7,1.6734098067749978,3.7971864009378664,173.11200000000002,107.58,240.99600000000004,1143.5520000000001,77.736,10.008000000000001,27.601635268403697,5.86831916729851
140,S2,test_based_TTI_test_contacts,0.8,1.6663807551535523,3.9851851851851854,168.55200000000002,138.912,240.48,1126.392,77.472,12.0,26.24075511451936,6.836803005295591
141,S2,test_based_TTI_test_contacts,0.8,1.6131039217013783,3.7912280701754386,174.876,137.772,247.896,1162.608,77.79599999999999,9.636,28.265704062773867,6.793403463913788
142,S2,test_based_TTI_test_contacts,0.9,1.5808546361335611,3.9193939393939394,172.26,174.876,250.21200000000002,1147.224,77.60400000000001,11.004000000000001,27.57933238992834,7.719745814627161
143,S2,test_based_TTI_test_contacts,0.9,1.3958009657505872,3.718637992831541,167.34,170.268,250.16400000000002,1167.6000000000001,74.7,11.075999999999999,28.60068131222777,6.984468887774386
144,S3,no_TTI,0.1,1.5076684009944668,3.8117994100294985,0.0,0.0,0.0,848.136,77.532,25.86,21.00602472377253,5.3290705182007515e-18
145,S3,no_TTI,0.1,1.5019809135788222,3.896265560165975,0.0,0.0,0.0,828.048,78.876,24.876,23.593898385510315,-3.4638958368304884e-17
146,S3,no_TTI,0.2,1.6144333255729149,3.7536829699469654,0.0,0.0,0.0,815.0160000000001,76.44,24.66,18.903679758033153,1.7319479184152442e-17
147,S3,no_TTI,0.2,1.6808817374592548,4.0238532110091745,0.0,0.0,0.0,820.1279999999999,78.94800000000001,22.692,23.27710031104941,3.4638958368304884e-17
148,S3,no_TTI,0.3,1.5499323341197384,4.122965641952984,0.0,0.0,0.0,840.288,82.08000000000001,26.316,24.907947092344237,-2.6645352591003758e-18
