,strategy,gov_policy,quarantine_length,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
29,S1,test_based_TTI,14,1.9280291049212106,3.6625295508274234,188.51999999999998,28.224,89.016,3036.936,74.364,0.0,29.459636666799504,5.757660386880186
30,S1,test_based_TTI_test_contacts,6,2.194389427716723,4.235187424425635,204.372,38.232,256.956,975.4799999999999,84.06,0.0,33.78664083659441,6.719117802083993
31,S1,test_based_TTI_test_contacts,6,2.1502692156213716,3.975103734439834,191.328,35.232000000000006,244.27200000000002,935.808,80.472,0.0,31.237888048699652,5.704061950261232
32,S1,test_based_TTI_test_contacts,8,1.9398251603837804,3.7845303867403315,179.904,25.62,232.992,971.8319999999999,73.98,0.0,30.019661158932934,6.040636605884906
33,S1,test_based_TTI_test_contacts,8,1.9273700901572413,3.889216263995286,191.964,29.244,245.57999999999998,1012.6800000000001,79.2,0.0,34.137687615177654,5.813347868860205
34,S1,test_based_TTI_test_contacts,10,2.086947270156216,4.014319809069212,213.756,34.788,261.108,1075.584,80.73599999999999,0.0,31.977554387954818,6.78576211466331
35,S1,test_based_TTI_test_contacts,10,2.023606227240958,3.699568167797656,188.808,32.7,243.192,1032.552,71.964,0.0,26.88882607692071,5.711985590788137
36,S1,test_based_TTI_test_contacts,12,2.0852482784186503,3.823821339950372,188.148,34.104,242.56799999999998,1076.8319999999999,73.96799999999999,0.0,27.637667574284166,5.993289727985372
37,S1,test_based_TTI_test_contacts,12,2.009965522397445,3.8146577831617203,183.432,30.815999999999995,239.256,1076.328,75.57600000000001,0.0,29.32592578960621,6.428637280655526
38,S1,test_based_TTI_test_contacts,14,2.022290654527202,3.7931654676258995,179.1,30.755999999999997,235.056,1096.8000000000002,75.924,0.0,29.997437087975396,5.448393171008072
39,S1,test_based_TTI_test_contacts,14,1.9831120539901537,3.856806128461992,179.56799999999998,32.903999999999996,236.06400000000002,1126.5120000000002,78.53999999999999,0.0,31.98048230817218,6.175423824372296
40,S2,no_TTI,6,1.9353212838668343,3.8438685208596715,0.0,0.0,0.0,607.3679999999999,72.972,10.476,25.755860747072003,-2.531308496145357e-17
41,S2,no_TTI,6,2.1528960309750302,4.0691711389385805,0.0,0.0,0.0,613.7520000000001,81.888,10.824,27.739120272658475,3.4638958368304884e-17
42,S2,no_TTI,8,1.961420150409558,3.866034380557202,0.0,0.0,0.0,678.504,78.264,11.88,26.677010475108894,1.865174681370263e-17
43,S2,no_TTI,8,2.010033339591186,4.026252983293556,0.0,0.0,0.0,662.0400000000001,80.976,12.564,27.986209474142054,1.5987211554602253e-17
44,S2,no_TTI,10,2.0890349190383146,3.824188790560472,0.0,0.0,0.0,721.08,77.784,11.34,23.953029746760684,-1.5987211554602253e-17
45,S2,no_TTI,10,2.149836868222342,3.9002478314745974,0.0,0.0,0.0,723.336,75.53999999999999,8.867999999999999,25.033959536269638,3.064215547965432e-17
46,S2,no_TTI,12,1.9864500991819238,3.870616686819831,0.0,0.0,0.0,810.072,76.824,7.548,29.84893843143718,7.993605777301126e-18
47,S2,no_TTI,12,2.207789644817517,4.048377219840784,0.0,0.0,0.0,766.7280000000001,79.33200000000001,9.084,26.984154120155917,2.7977620220553945e-17
48,S2,no_TTI,14,2.0996313109091873,4.001738122827346,0.0,0.0,0.0,848.64,82.884,11.796,27.600436288448886,5.595524044110789e-17
49,S2,no_TTI,14,1.9837961384810363,3.935563816604709,0.0,0.0,0.0,807.048,76.224,10.128,27.67383638989927,5.3290705182007515e-18
50,S2,symptom_based_TTI,6,1.506889049806838,3.6313253012048192,1615.14,254.928,89.42399999999999,3801.888,72.336,10.283999999999999,26.541650551507878,5.493119576339908
51,S2,symptom_based_TTI,6,1.783619759590393,4.090966122961104,1719.876,263.72400000000005,89.80799999999999,3989.3759999999997,78.252,10.236,27.73426312516725,6.164658113387719
52,S2,symptom_based_TTI,8,1.5542948646301271,3.8245406046235924,1626.3600000000001,249.52800000000002,90.57600000000001,4232.904,77.424,9.803999999999998,29.172541715727853,6.982313044699836
53,S2,symptom_based_TTI,8,1.6956854413527978,4.108958837772397,1641.18,276.012,89.32799999999999,4283.256,81.45599999999999,12.36,28.25935879655532,7.2213730140668
54,S2,symptom_based_TTI,10,1.663659159754571,3.8401510383889237,1603.308,238.716,89.352,4473.432,73.22399999999999,9.204,25.6450677675966,6.652279374203239
55,S2,symptom_based_TTI,10,1.657582646458291,3.8312312312312313,1641.8999999999999,260.808,89.52,4603.632,76.548,8.867999999999999,27.509614973142046,7.051883750621266
56,S2,symptom_based_TTI,12,1.563078745316781,3.8130617136009586,1658.2559999999999,269.808,89.76,5010.312,76.368,10.596,27.8346018383603,6.6320570504352006
57,S2,symptom_based_TTI,12,1.7325797395650062,3.8993247391037444,1713.3359999999998,255.79200000000003,89.256,4940.9039999999995,76.224,9.564,26.240653005501102,6.550878245482154
58,S2,symptom_based_TTI,14,1.731573570499383,3.8869300911854103,1689.9959999999999,260.904,89.7,5288.592,76.728,9.792000000000002,25.945177029539558,6.809560688802598
59,S2,symptom_based_TTI,14,1.596322745617278,3.9165165165165163,1619.184,243.38400000000001,89.78399999999999,5300.064,78.252,10.488000000000001,28.398038668125096,7.47143287444169
60,S2,test_based_TTI,6,1.6456753648100633,3.846798324356673,175.01999999999998,26.471999999999998,90.036,1495.1039999999998,77.13600000000001,10.344,28.032821320834152,5.760096263994442
61,S2,test_based_TTI,6,1.8552611260697425,4.134291068082448,178.02,28.764,90.52799999999999,1504.92,79.42800000000001,8.988,28.696105609748706,6.100617636199366
62,S2,test_based_TTI,8,1.845945049780924,3.9963325183374083,172.11599999999999,28.116,89.84400000000001,1808.9759999999999,78.456,8.736,27.272980201294803,6.2074265814060645
63,S2,test_based_TTI,8,1.7230434861640456,3.7105729474305966,172.476,24.216,89.196,1804.848,75.384,8.136,26.62319114121405,5.619457393877141
64,S2,test_based_TTI,10,1.752172039853268,4.073574494175353,177.948,29.448,90.24,2209.728,79.728,10.476,29.475922188266228,5.482566647725569
65,S2,test_based_TTI,10,1.7331317627998124,3.8994614003590664,193.32,27.276,89.568,2310.96,78.192,10.488000000000001,27.21872723360616,5.73251465873194
66,S2,test_based_TTI,12,1.7700288500819787,3.843161094224924,169.752,30.203999999999997,89.03999999999999,2435.8559999999998,75.864,9.516,26.1559412246103,5.251689274771419
67,S2,test_based_TTI,12,1.7469245717307154,3.874613959234095,171.516,28.236,90.05999999999999,2446.68,75.276,10.656,25.045829020196148,5.634920400219481
68,S2,test_based_TTI,14,1.8723460662008695,3.871386430678466,192.612,25.668,89.196,3043.2479999999996,78.744,9.936,24.921260442086073,5.803220571388149
69,S2,test_based_TTI,14,1.7605046040720538,3.8873576992210905,166.548,24.888,88.944,2727.264,77.85600000000001,10.296,26.980937430855185,5.319676358789703
70,S2,test_based_TTI_test_contacts,6,1.7204811318042275,3.8466707391569943,175.464,30.372,229.56,896.568,75.56400000000001,10.416,25.62851936179764,5.722349285040068
71,S2,test_based_TTI_test_contacts,6,1.7875750586975023,4.057831325301205,180.43200000000002,28.296,234.54,936.84,80.832,11.831999999999999,27.13135000261426,6.260154828131473
72,S2,test_based_TTI_test_contacts,8,1.6675453994314393,3.713239780353874,176.556,25.116000000000003,228.95999999999998,957.384,73.03200000000001,9.18,25.3654972602256,5.689219823756822
73,S2,test_based_TTI_test_contacts,8,1.6155205551597303,3.912627169359665,189.744,29.904,241.992,986.64,78.456,10.08,29.99067988827079,5.990901939666292
74,S2,test_based_TTI_test_contacts,10,1.7431643863703064,3.7557856272838004,174.768,30.096000000000004,228.36,1005.888,74.004,9.9,23.997706459612033,5.758982471347395
75,S2,test_based_TTI_test_contacts,10,1.7794344208217117,4.014319809069212,191.1,28.656000000000002,240.708,1033.4160000000002,80.73599999999999,11.58,27.46555438795481,5.902460540478885
76,S2,test_based_TTI_test_contacts,12,1.6838915309448088,3.7095410628019323,167.664,25.476,222.948,1032.6000000000001,73.716,9.36,25.699955847584604,5.193751649480122
77,S2,test_based_TTI_test_contacts,12,1.6773852626913046,3.8960887332165792,171.768,26.436,227.352,1080.912,80.088,11.988,28.276751115365546,5.34291742475194
78,S2,test_based_TTI_test_contacts,14,1.67527163670989,3.7538011695906435,168.84,24.828,222.876,1100.544,77.028,10.212,26.949299754613477,5.490126260099535
79,S2,test_based_TTI_test_contacts,14,1.6450737554710588,3.7340868530636526,163.404,24.336000000000002,221.712,1102.7279999999998,75.324,9.504000000000001,27.766961719068743,4.868610485569023
80,S3,no_TTI,6,1.5696566924880517,3.7589442815249265,0.0,0.0,0.0,614.0640000000001,76.908,24.576,20.21682407169446,7.993605777301126e-18
81,S3,no_TTI,6,1.625936466523461,3.996541786743516,0.0,0.0,0.0,641.808,83.208,26.028000000000002,23.328002766981548,2.2648549702353192e-17
82,S3,no_TTI,8,1.5745465336396636,3.912291169451074,0.0,0.0,0.0,666.624,78.684,25.056,21.960720115439074,-3.3306690738754695e-17
83,S3,no_TTI,8,1.4917063299504585,3.762691131498471,0.0,0.0,0.0,674.328,73.824,22.86,21.696721806372,-3.8635761256955445e-17
84,S3,no_TTI,10,1.6557035138783953,4.055386488131467,0.0,0.0,0.0,706.416,79.956,23.424000000000003,23.888149520373563,-7.993605777301127e-17
85,S3,no_TTI,10,1.6257776942335675,3.953271028037383,0.0,0.0,0.0,715.152,81.216,24.708,23.10802304966557,1.3322676295501879e-18
86,S3,no_TTI,12,1.5358933042607659,3.7890070921985815,0.0,0.0,0.0,792.984,76.932,23.52,22.22722235028942,-6.661338147750939e-17
87,S3,no_TTI,12,1.7614249731525213,4.07795371498173,0.0,0.0,0.0,764.952,80.352,24.084,21.560882329002705,-1.9984014443252817e-17
88,S3,no_TTI,14,1.6428212880871347,3.8076470588235294,0.0,0.0,0.0,813.792,77.676,21.528,22.63444572302245,1.3322676295501879e-18
89,S3,no_TTI,14,1.5053809872085473,3.800711743772242,0.0,0.0,0.0,831.768,76.896,22.68,23.759131866796654,-3.996802888650563e-18
90,S3,symptom_based_TTI,6,1.2832737502608007,4.108958837772397,1355.208,212.952,89.32799999999999,3334.44,81.45599999999999,26.88,23.171358796555307,5.965022378274579
91,S3,symptom_based_TTI,6,1.3105821975624086,4.0677555958862675,1354.0439999999999,202.248,89.46000000000001,3369.288,80.688,25.836,22.848561920687338,6.006729608464739
92,S3,symptom_based_TTI,8,1.2042581270090198,3.699011124845488,1413.18,193.5,89.46000000000001,3716.136,71.82000000000001,23.508,19.081302260139648,5.848821945853232
93,S3,symptom_based_TTI,8,1.1220223279065658,3.7810615199034983,1410.8519999999999,203.388,90.048,3782.784,75.22800000000001,23.052,23.42751415016244,6.424729613808546
