,strategy,gov_policy,home_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
47,S1,test_based_TTI,0.4,2.165241150274996,4.156288156288157,183.3,27.612,90.41999999999999,2952.2400000000002,81.696,0.0,33.34210387571662,5.793916074477986
48,S1,test_based_TTI,0.5,2.107055826088062,4.040356083086054,169.584,28.752000000000002,89.41199999999999,2767.488,81.696,0.0,32.9624715070212,6.128859689478142
49,S1,test_based_TTI,0.5,2.1108218960596097,4.069277108433735,177.612,29.664,89.544,2873.4,81.06,0.0,33.27433838014483,5.738089450347698
50,S1,test_based_TTI,0.6,2.4332862710633485,4.550595238095238,196.536,33.348,89.364,3092.592,91.74,0.0,36.26884134224342,6.416107433119459
51,S1,test_based_TTI,0.6,2.22694817241681,4.267314702308627,191.4,33.888,88.96799999999999,3027.984,84.288,0.0,34.07048965557679,6.230830042846317
52,S1,test_based_TTI,0.7,2.4100897933971694,4.648456057007126,202.26,30.491999999999997,88.92,3114.72,93.936,0.0,38.60794509731827,6.624960357711632
53,S1,test_based_TTI,0.7,2.262295272113425,4.6672694394213385,182.388,34.332,90.24,2932.1040000000003,92.916,0.0,41.527614062062646,6.3506116607032075
54,S1,test_based_TTI,0.8,2.614479867449912,5.019097222222222,196.584,39.336,88.332,3065.64,104.076,0.0,43.37127227822554,6.490873190333041
55,S1,test_based_TTI,0.8,2.437235884137194,4.751049790041992,168.624,25.2,89.172,2747.04,95.04,0.0,41.049748584944645,5.235784788774842
56,S1,test_based_TTI,0.9,2.442690424240241,5.097238895558223,199.104,35.688,90.096,3093.984,101.904,0.0,46.678082279323554,6.391650759265532
57,S1,test_based_TTI,0.9,2.6054798044372296,4.8712296983758705,188.82,30.912,89.088,2971.5119999999997,100.776,0.0,40.83594362066625,6.037890185136352
58,S1,test_based_TTI,1.0,2.597337501870654,5.124242424242424,202.992,38.592,89.448,3120.672,101.46000000000001,0.0,43.71272445027753,6.31999301268347
59,S1,test_based_TTI,1.0,2.731791183893355,5.447560975609756,190.644,33.696,90.24,2986.104,107.208,0.0,47.04158387943603,6.404765621542732
60,S1,test_based_TTI_test_contacts,0.1,1.7340413336624398,3.3891238670694865,174.708,28.668,231.564,1155.024,67.30799999999999,0.0,26.725880784123074,6.144058329340828
61,S1,test_based_TTI_test_contacts,0.1,1.722214885598938,3.492121212121212,191.688,32.64,245.36400000000003,1167.816,69.144,0.0,28.858469344886373,6.185675920254601
