,strategy,gov_policy,most_infectious_day,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
89,S3,test_based_TTI_test_contacts,1,2.5169541939321833,4.001784651992861,139.308,20.964,193.788,1081.848,80.72399999999999,25.368000000000002,3.96,0.624
90,S3,test_based_TTI_test_contacts,2,1.8160714285714286,3.9101190476190477,139.044,18.384,196.34400000000002,1076.424,78.828,25.044,13.044,4.128
91,S3,test_based_TTI_test_contacts,2,1.8544798556825015,3.973541791942273,145.992,23.16,201.43200000000002,1099.68,79.296,25.008,12.432,4.848
92,S3,test_based_TTI_test_contacts,3,1.3221153846153846,3.816105769230769,137.148,21.432000000000002,197.604,1048.992,76.2,23.112,22.392,4.295999999999999
93,S3,test_based_TTI_test_contacts,3,1.3624925104853205,3.6686638705811863,143.57999999999998,18.695999999999998,200.808,1046.328,73.476,21.924,19.188,5.076
94,S3,test_based_TTI_test_contacts,4,1.3276470588235294,3.875294117647059,142.61999999999998,19.212,204.012,1067.088,79.05600000000001,23.328,25.344,3.3
95,S3,test_based_TTI_test_contacts,4,1.2835365853658536,3.84390243902439,124.74000000000001,14.316,189.42000000000002,996.4319999999999,75.648,24.432000000000002,23.076,2.88
96,S4,no_TTI,1,1.7124026363091671,3.8747753145596167,0.0,0.0,0.0,870.168,77.60400000000001,39.215999999999994,4.092,0.0
97,S4,no_TTI,1,1.750301568154403,3.911338962605549,0.0,0.0,0.0,843.0,77.82,38.544,4.452,0.0
98,S4,no_TTI,2,1.5963963963963963,3.863063063063063,0.0,0.0,0.0,831.7439999999999,77.184,36.96,8.328000000000001,0.0
99,S4,no_TTI,2,1.6143601621308628,4.064273306311523,0.0,0.0,0.0,874.1759999999999,84.228,39.972,10.799999999999999,0.0
100,S4,no_TTI,3,1.2033096926713949,3.940307328605201,0.0,0.0,0.0,822.816,80.00399999999999,40.236,15.336,0.0
101,S4,no_TTI,3,1.3512014787430684,3.847196549599507,0.0,0.0,0.0,825.456,74.928,35.784000000000006,12.828,0.0
102,S4,no_TTI,4,1.164776119402985,3.9528358208955225,0.0,0.0,0.0,805.2959999999999,79.452,37.668,18.372,0.0
103,S4,no_TTI,4,1.001861042183623,3.9875930521091814,0.0,0.0,0.0,801.12,77.13600000000001,39.78,17.976,0.0
104,S4,symptom_based_TTI,1,1.3589296102385107,3.7783595113438047,924.5400000000001,127.02,89.88,3367.944,77.94,39.312,4.8,5.796
105,S4,symptom_based_TTI,1,1.452643811737362,3.8158047646717024,913.152,129.144,89.42399999999999,3297.672,78.80399999999999,38.832,4.4639999999999995,5.508
106,S4,symptom_based_TTI,2,1.1993865030674846,3.8938650306748466,913.7879999999999,128.55599999999998,89.952,3298.704,76.164,37.8,9.024000000000001,5.88
107,S4,symptom_based_TTI,2,1.1483990147783252,3.8669950738916254,955.548,134.448,90.05999999999999,3226.7520000000004,75.36,38.244,8.496,6.239999999999999
108,S4,symptom_based_TTI,3,0.9705705705705706,3.745945945945946,898.284,114.612,89.292,3185.304,74.84400000000001,35.568,15.467999999999998,4.416
109,S4,symptom_based_TTI,3,1.0266497461928934,3.9727157360406093,926.244,128.484,90.408,3259.104,75.132,37.992,12.552,5.172
110,S4,symptom_based_TTI,4,0.9087112171837709,3.9379474940334127,908.016,129.924,89.664,3344.16,79.2,37.824,19.044,4.055999999999999
111,S4,symptom_based_TTI,4,0.8716763005780347,3.7520231213872832,928.488,125.82,88.728,3159.0,77.892,39.492,17.304,3.0
