,strategy,gov_policy,gts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
65,S2,test_based_TTI,0.5,1.5846535407136353,3.8078215704246867,157.98600000000002,21.744,89.97,2639.556,74.77799999999999,13.782,24.80879518398845,5.06777858347713
66,S2,test_based_TTI,0.75,1.6649698260336856,3.7179799209005173,157.83,24.474,89.7,2639.076,73.326,11.616,24.28365981536812,4.589805275595546
67,S2,test_based_TTI,0.75,1.7888017709939743,3.8939665471923535,179.538,30.774,89.592,2893.428,78.22200000000001,11.298,25.230223318918625,5.760326705354472
68,S2,test_based_TTI,1.0,1.6640068367854768,3.7339233038348083,172.386,26.580000000000002,89.028,2816.1839999999997,75.94800000000001,8.634,27.78074496929645,5.6873559704869505
69,S2,test_based_TTI,1.0,1.7473356262154494,3.8059210526315788,178.66799999999998,29.352,89.196,2876.94,76.362,9.894,25.949932632165947,5.459525363447315
70,S2,test_based_TTI_test_contacts,0.0,1.5012389386927878,3.848211689444606,161.4,30.342000000000002,219.552,1103.1960000000001,79.404,17.922,25.417448395028703,5.087987343984326
71,S2,test_based_TTI_test_contacts,0.0,1.4614695624206924,3.7951234017246507,148.95600000000002,22.746,208.42800000000003,1057.404,76.578,18.456,24.000090579474445,4.632376590000827
72,S2,test_based_TTI_test_contacts,0.25,1.6472601955110586,3.9788965933072054,161.382,24.683999999999997,218.7,1109.004,79.188,15.732,25.428729259614364,5.243498329324568
73,S2,test_based_TTI_test_contacts,0.25,1.5839332350494657,3.890336261738867,151.12199999999999,22.278000000000002,209.65200000000002,1068.3600000000001,77.052,16.686,24.254931343590766,4.739687003019502
74,S2,test_based_TTI_test_contacts,0.5,1.5900000594494605,3.874174174174174,163.524,25.77,219.924,1105.932,77.406,13.656,27.008360474218048,4.97343833798173
75,S2,test_based_TTI_test_contacts,0.5,1.6847927884583218,3.91980705456738,171.87599999999998,26.808,225.96,1098.96,78.012,13.494,25.445658643165064,5.54159528093741
76,S2,test_based_TTI_test_contacts,0.75,1.6620335471255916,3.874249699879952,167.892,27.354000000000003,224.4,1117.296,77.454,12.192,27.116535131417223,4.9180901944479585
77,S2,test_based_TTI_test_contacts,0.75,1.6892966655636352,3.9533456108041745,192.066,30.522000000000002,243.49200000000002,1143.5159999999998,77.28,11.97,26.16408139221872,6.123547389343305
78,S2,test_based_TTI_test_contacts,1.0,1.7318702453503543,3.903098420413123,176.724,24.384,230.622,1109.676,77.094,10.122,27.210182993940094,5.553915919899712
79,S2,test_based_TTI_test_contacts,1.0,1.8076339673417026,3.8586291309669525,167.41799999999998,22.488,222.312,1091.424,75.66,10.518,24.516537009593698,5.181376158770239
80,S3,no_TTI,0.0,1.4845098143227424,3.957313432835821,0.0,0.0,0.0,810.66,79.542,28.764,20.939352732112894,-7.327471962526034e-18
81,S3,no_TTI,0.0,1.4250687424964097,3.9344018996734937,0.0,0.0,0.0,832.968,79.53,29.214,21.509660439177594,-6.661338147750939e-19
82,S3,no_TTI,0.25,1.5068006242521867,3.9111637548119633,0.0,0.0,0.0,820.7760000000001,79.248,27.540000000000003,21.177205751402205,1.0658141036401503e-17
83,S3,no_TTI,0.25,1.53576813768457,3.9856887298747763,0.0,0.0,0.0,814.2719999999999,80.208,28.302,21.000201997235745,2.3314683517128286e-17
84,S3,no_TTI,0.5,1.4955463746729167,3.686890243902439,0.0,0.0,0.0,831.624,72.558,21.906,21.219647346437014,4.662936703425658e-18
85,S3,no_TTI,0.5,1.599372439160063,3.908977943460702,0.0,0.0,0.0,800.304,75.498,23.55,21.057720710062547,1.2656542480726785e-17
86,S3,no_TTI,0.75,1.6511794518120506,3.8900091659028413,0.0,0.0,0.0,809.34,76.39200000000001,22.062,21.904137925314974,1.0658141036401503e-17
87,S3,no_TTI,0.75,1.624457670355331,3.884900622960546,0.0,0.0,0.0,838.188,78.57600000000001,21.948,23.771719159393115,-6.661338147750939e-18
88,S3,no_TTI,1.0,1.6742360088072064,4.061340514661879,0.0,0.0,0.0,828.0120000000001,81.438,22.05,25.81621955139792,-5.995204332975845e-18
89,S3,no_TTI,1.0,1.6853293244444303,3.8838124054462937,0.0,0.0,0.0,836.148,77.016,19.668,23.92791949626695,2.531308496145357e-17
