,strategy,gov_policy,other_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
34,S1,test_based_TTI_test_contacts,0.3,5.163139785480143,9.974908200734394,176.904,32.267999999999994,227.964,1103.1599999999999,195.588,0.0,79.50530000476344,14.843855081541914
35,S1,test_based_TTI_test_contacts,0.3,5.499679205017964,10.369449378330373,180.72,32.016,228.432,1126.968,210.168,0.0,83.09928372801485,15.601218144681186
36,S1,test_based_TTI_test_contacts,0.4,7.48918566776681,13.338912133891213,183.072,35.352,227.388,1129.008,267.792,0.0,96.44025621433187,20.998852319581943
37,S1,test_based_TTI_test_contacts,0.4,7.256323548721485,13.263814616755793,192.996,34.668,233.988,1153.368,267.876,0.0,100.82183406683609,20.505455543184954
38,S1,test_based_TTI_test_contacts,0.5,8.373064409030793,15.705150976909414,180.72,32.016,221.304,1126.968,318.312,0.0,124.7632837280149,23.843446829749254
39,S1,test_based_TTI_test_contacts,0.5,9.305858301378063,16.291868932038835,181.104,29.304,221.88,1099.8719999999998,322.188,0.0,114.91974855890403,23.235597673043625
40,S2,no_TTI,0.1,2.8357532861534818,5.427385892116183,0.0,0.0,0.0,828.984,109.872,16.163999999999998,36.3010104751089,2.1316282072803006e-17
41,S2,no_TTI,0.1,3.06257932208683,5.689006466784244,0.0,0.0,0.0,838.296,116.124,13.056,40.55463087756365,-7.993605777301126e-18
42,S2,no_TTI,0.2,4.328070580259864,7.760856632956574,0.0,0.0,0.0,802.2479999999999,156.552,14.687999999999999,54.55816025499804,-1.3455903058456897e-16
43,S2,no_TTI,0.2,4.490819286334987,8.104353011329756,0.0,0.0,0.0,829.6560000000001,163.09199999999998,15.336,57.38275268179476,-1.3322676295501879e-18
44,S2,no_TTI,0.3,6.208781297970433,10.612181479179615,0.0,0.0,0.0,815.352,204.9,13.776,71.24485069878685,-7.593925488436071e-17
45,S2,no_TTI,0.3,6.34404834109684,10.94031597425395,0.0,0.0,0.0,829.944,224.36399999999998,20.784,73.47625662078605,2.531308496145357e-17
46,S2,no_TTI,0.4,7.6569301944426575,13.70906949352179,0.0,0.0,0.0,830.256,279.336,28.464,94.85439035803643,2.078337502098293e-16
