,strategy,gov_policy,n_cases,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
57,S2,symptom_based_TTI,40000,1.6661016472127828,3.6162468513853905,1630.146,248.781,86.544,5282.969999999999,86.13900000000001,12.015,27.455897303627296,6.981561459764256
58,S2,symptom_based_TTI,50000,1.7086618787143832,3.6024133346967995,1619.412,250.50480000000002,86.4192,5175.3312000000005,84.54719999999999,10.814400000000001,26.664104843887852,6.967084327437226
59,S2,symptom_based_TTI,50000,1.7660778510624078,3.671730711945189,1607.7144,250.692,86.58,5246.1552,88.74719999999999,11.0976,27.65686663112855,7.305925277552705
60,S2,test_based_TTI,10000,1.7565881199799596,3.605583756345178,163.32,23.412,86.952,2683.2960000000003,85.236,13.2,24.719246822352073,5.79101002132161
61,S2,test_based_TTI,10000,1.6727064153333486,3.4745254745254743,169.416,24.683999999999997,86.388,2774.568,83.472,10.404,27.567527090545376,5.315373987486239
62,S2,test_based_TTI,20000,1.8554127051561298,3.630726398380157,183.09,32.861999999999995,85.902,2939.0280000000002,86.07000000000001,9.042,26.90646363728037,6.137122774288449
63,S2,test_based_TTI,20000,1.8097623219038272,3.520168275179411,181.68599999999998,30.276000000000003,85.842,2921.076,85.35000000000001,10.001999999999999,25.773255434998195,5.695247308121655
64,S2,test_based_TTI,30000,1.8135957092292905,3.6052013422818794,185.172,29.043999999999997,86.796,2944.792,85.94800000000001,10.224,26.72814137263732,5.759736919336526
65,S2,test_based_TTI,30000,1.766773022007931,3.5991166978087312,174.724,26.240000000000002,86.39999999999999,2824.736,84.75200000000001,11.172,26.960100984916735,5.015927892840651
66,S2,test_based_TTI,40000,1.7708940137682652,3.6645513390024114,174.156,26.136,86.661,2819.562,86.619,11.495999999999999,27.715530922566522,5.548847273993133
67,S2,test_based_TTI,40000,1.7980443717940033,3.624873737373737,170.172,24.906000000000002,86.532,2767.1580000000004,86.127,11.187000000000001,26.82467690376096,5.393788822413705
68,S2,test_based_TTI,50000,1.7895212612280067,3.6824168090881675,176.34480000000002,24.8928,86.4552,2837.8032,87.9096,11.630400000000002,27.898054945625137,5.660261889331144
69,S2,test_based_TTI,50000,1.7337781431700152,3.5508186900958467,171.7272,28.183200000000003,86.5344,2811.8831999999998,85.35600000000001,11.1288,26.941835358723498,5.608112124498683
70,S2,test_based_TTI_test_contacts,10000,1.9020890005135396,3.7181174089068825,172.236,29.855999999999998,224.532,1064.52,88.164,10.692,26.84335259134424,5.526313028478597
71,S2,test_based_TTI_test_contacts,10000,1.737571067709439,3.5566277298120874,183.912,29.424,233.54399999999998,1096.008,84.036,12.816,24.680808880733284,5.483861931428013
72,S2,test_based_TTI_test_contacts,20000,1.7154348192768367,3.473968565815324,166.608,27.240000000000002,219.57,1072.296,84.876,11.388,26.38908715945675,5.187409335971624
73,S2,test_based_TTI_test_contacts,20000,1.7761328588630467,3.5459868260551355,163.02599999999998,26.994,217.32,1072.2359999999999,87.21000000000001,11.358,27.089025213968625,5.080763255153686
74,S2,test_based_TTI_test_contacts,30000,1.8110983227728974,3.6954683801149812,184.464,29.728,233.984,1117.688,87.42,11.904,26.795011571473907,5.877646505010566
75,S2,test_based_TTI_test_contacts,30000,1.7147108822204682,3.5116511318242343,168.36,26.14,219.9,1072.032,84.39200000000001,10.956000000000001,26.495288458954075,5.7327796195237495
76,S2,test_based_TTI_test_contacts,40000,1.8143392729551429,3.7499685257459396,188.322,29.46,237.252,1115.304,89.358,11.745000000000001,28.36998553207487,6.009123932677189
77,S2,test_based_TTI_test_contacts,40000,1.80385149436347,3.6871711350538714,190.08,31.566000000000003,238.173,1114.2479999999998,88.29299999999999,11.727,27.26209803190094,6.10887408407155
78,S2,test_based_TTI_test_contacts,50000,1.7764452658401735,3.662906896210547,181.78320000000002,30.043200000000002,231.0792,1107.9024,88.8504,11.424000000000001,28.675662344322504,5.6598601312458285
79,S2,test_based_TTI_test_contacts,50000,1.7914944725479183,3.665314200890648,181.9752,28.4976,231.77280000000002,1103.2704,88.8912,11.2632,28.211021459575708,5.969654592192423
80,S3,no_TTI,10000,1.631763951604753,3.5773809523809526,0.0,0.0,0.0,796.608,86.544,26.927999999999997,20.140366482777793,-2.6645352591003756e-17
81,S3,no_TTI,10000,1.5524711112494873,3.5485362095531587,0.0,0.0,0.0,780.816,82.908,27.828,18.808064956766938,8.79296635503124e-17
82,S3,no_TTI,20000,1.657060865520056,3.6912735272549497,0.0,0.0,0.0,800.7239999999999,90.606,28.404,21.52778399494473,0.0
83,S3,no_TTI,20000,1.6449354461268433,3.7019770563827192,0.0,0.0,0.0,820.308,91.002,27.87,22.696196863310004,-9.992007221626408e-18
84,S3,no_TTI,30000,1.6452388004366232,3.6396039603960397,0.0,0.0,0.0,798.7280000000001,88.22399999999999,26.388,21.955411477416277,-3.996802888650563e-18
85,S3,no_TTI,30000,1.5417404071092522,3.5230076692230745,0.0,0.0,0.0,801.168,84.524,26.208000000000002,21.326564152634834,-1.2878587085651817e-17
86,S3,no_TTI,40000,1.5638022363076032,3.5487942021741845,0.0,0.0,0.0,820.374,85.203,25.944,21.713672108490748,-5.662137425588298e-18
87,S3,no_TTI,40000,1.595831290832779,3.682191780821918,0.0,0.0,0.0,809.6519999999999,88.704,27.435,22.825424203838327,-7.66053886991358e-18
88,S3,no_TTI,50000,1.575261358456908,3.6278252134605724,0.0,0.0,0.0,805.7951999999999,86.676,27.247200000000003,21.79265562374755,-2.664535259100376e-19
89,S3,no_TTI,50000,1.6269426052603195,3.6885806192199437,0.0,0.0,0.0,811.512,88.0656,26.4648,22.757219910888793,1.6253665080512292e-17
90,S3,symptom_based_TTI,10000,1.4037527486944572,3.8108795119471277,1337.1,189.024,86.904,4413.023999999999,89.952,27.78,23.383853127218913,5.653966992597095
91,S3,symptom_based_TTI,10000,1.3666513242908307,3.626850433894844,1242.336,184.27200000000002,86.78399999999999,4190.712,85.26,24.432000000000002,23.05322747141586,5.647533197155267
92,S3,symptom_based_TTI,20000,1.373469352586671,3.601317122593718,1289.292,181.98,86.03999999999999,4216.5599999999995,85.30799999999999,25.325999999999997,22.284474572783285,5.162783403143673
93,S3,symptom_based_TTI,20000,1.241303212693784,3.452991452991453,1312.686,188.57999999999998,86.07000000000001,4508.208,84.83999999999999,25.83,22.424270782413,6.086909281700748
94,S3,symptom_based_TTI,30000,1.3580233982096788,3.664846980976013,1292.896,180.076,85.956,4381.84,88.616,26.98,23.041542024915397,5.757452206374602
95,S3,symptom_based_TTI,30000,1.344879926453123,3.613188647746244,1324.156,190.024,86.256,4351.424,86.572,27.227999999999998,21.31204404702808,5.808632915155104
96,S3,symptom_based_TTI,40000,1.380153050970079,3.6808928133431444,1304.382,189.258,86.679,4460.526,90.042,27.426000000000002,22.61260939109769,6.2420866760722875
97,S3,symptom_based_TTI,40000,1.3687831149395961,3.667942229354401,1309.0410000000002,193.797,85.953,4435.278,89.142,28.275,21.72317665577556,5.878287301847473
98,S3,symptom_based_TTI,50000,1.3715720829269813,3.6286699507389164,1319.076,190.5312,86.47200000000001,4448.3472,88.3944,27.0528,21.915051569070084,6.015052490828748
99,S3,symptom_based_TTI,50000,1.334535628933106,3.6581495159197526,1329.9264,194.1576,86.5416,4480.1136,87.9624,27.4848,22.340165863392546,6.047724217533636
100,S3,test_based_TTI,10000,1.4528653484441687,3.6582474226804123,128.56799999999998,17.735999999999997,87.096,2247.9120000000003,85.164,28.188,19.17315775207952,3.9801369361402283
101,S3,test_based_TTI,10000,1.4199399900131178,3.7009438648782913,158.712,23.04,86.712,2667.432,89.4,27.216,22.769613061761554,5.114316539481557
102,S3,test_based_TTI,20000,1.4266367831990407,3.7041405269761607,144.12,22.11,86.688,2442.144,88.566,27.192,22.850099736926502,4.413014776784445
103,S3,test_based_TTI,20000,1.3470393390697348,3.6085764148591375,142.99800000000002,21.078,86.244,2445.648,86.844,27.054000000000002,22.84584122498933,4.526310040958467
104,S3,test_based_TTI,30000,1.423998052401107,3.602873183619551,145.56,18.128,85.644,2475.248,87.276,25.776,22.511871446880928,4.4931997317547605
105,S3,test_based_TTI,30000,1.4059881394135674,3.6862426995457493,151.388,21.932,86.51599999999999,2546.904,90.88799999999999,29.096,22.391776106297982,4.734180328321181
106,S3,test_based_TTI,40000,1.323994406001826,3.5620815965643553,141.162,22.563,87.162,2422.512,84.60300000000001,26.787,21.779341167039043,4.59046769601171
107,S3,test_based_TTI,40000,1.4149102400327638,3.70381602223907,142.962,19.650000000000002,86.77199999999999,2439.9,87.936,27.407999999999998,22.517654874930223,4.41754620621204
