,strategy,gov_policy,max_contacts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
28,S1,symptom_based_TTI,10,1.7738681006785064,3.68569746909947,1646.952,284.448,89.616,5373.744,75.14399999999999,3.684,28.814764816618474,6.479612346748103
29,S1,symptom_based_TTI,10,1.7845542964988645,3.763030303030303,1681.656,290.64000000000004,89.928,5328.984,74.508,3.648,28.831458960964934,6.694365968357526
30,S1,symptom_based_TTI,12,1.7658275004599004,3.735981308411215,1633.308,288.072,89.16,5313.504000000001,76.752,2.652,30.798213131158867,7.02462669939293
31,S1,symptom_based_TTI,12,1.8583318826207884,3.986935866983373,1685.34,288.99600000000004,89.676,5571.576,80.568,4.092,30.977682121798576,7.945147194200487
32,S1,symptom_based_TTI,14,1.9079311195585746,3.9172126265634306,1743.6480000000001,301.116,89.556,5811.624,78.92399999999999,1.692,30.19859231192467,8.59241149120913
33,S1,symptom_based_TTI,14,1.9296341058908828,4.0118232731798384,1748.076,298.332,90.3,5511.792,77.364,2.592,30.46115516503443,7.0997807369657995
34,S1,symptom_based_TTI,16,1.9673657052105595,3.970798569725864,1724.556,292.908,89.196,5780.472,79.956,1.5,30.397982286029958,8.443141873850177
35,S1,symptom_based_TTI,16,2.0215609515253217,3.924910607866508,1752.324,295.452,89.84400000000001,5487.792,79.032,1.476,29.37042503446401,7.4794236456220915
36,S1,symptom_based_TTI,18,1.8579786293197809,3.984520123839009,1786.3799999999999,317.21999999999997,90.41999999999999,5696.256,77.22,2.124,31.867679595228232,7.220694568554397
37,S1,symptom_based_TTI,18,1.8424648549025957,3.8171620863712845,1742.2440000000001,299.724,89.85600000000001,5759.759999999999,81.672,2.04,31.971515565384234,8.239106399119809
38,S1,symptom_based_TTI,20,2.0313105954412,3.862477771191464,1714.9679999999998,314.412,88.548,5477.52,78.192,0.768,28.17760670984218,8.124541596046123
39,S1,symptom_based_TTI,20,1.9416199161144916,3.787425149700599,1781.076,303.55199999999996,89.03999999999999,5699.472000000001,75.89999999999999,1.332,28.157114082570615,7.500822798494924
40,S1,test_based_TTI,2,1.6209211819228175,3.843525179856115,160.176,25.68,89.604,2693.52,76.932,15.024000000000001,24.140765304059833,5.322876318573034
41,S1,test_based_TTI,2,1.6132752140445865,3.986666666666667,152.79600000000002,23.412,90.17999999999999,2595.816,78.936,18.228,23.76924732885391,4.995903433063218
42,S1,test_based_TTI,4,1.8813599182463827,3.991822429906542,161.268,24.479999999999997,89.544,2702.856,82.008,11.112,27.11729831864634,5.1280435208999355
43,S1,test_based_TTI,4,1.6542164603336338,3.8773474178403755,164.772,28.080000000000002,89.48400000000001,2756.112,79.28399999999999,12.648,27.14606320618981,5.664518612907989
