,strategy,gov_policy,work_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
86,S3,no_TTI,0.4,7.23242970558365,19.469338190649665,0.0,0.0,0.0,808.2239999999999,384.792,159.012,82.83825929884482,-6.261657858885884e-17
87,S3,no_TTI,0.4,6.716497890664001,19.820096269554753,0.0,0.0,0.0,810.384,395.292,164.868,96.4701660685972,1.199040866595169e-17
88,S3,no_TTI,0.5,8.076327086455764,24.469994058229354,0.0,0.0,0.0,823.512,494.19599999999997,212.364,118.72249816193936,9.325873406851316e-18
89,S3,no_TTI,0.5,9.24668289514489,25.53796350794585,0.0,0.0,0.0,817.8000000000001,520.668,226.16400000000002,105.98262913378598,3.3306690738754695e-17
90,S3,symptom_based_TTI,0.1,1.7690496873981874,6.554202192448233,1341.8999999999999,190.776,89.568,4410.936000000001,129.144,50.496,34.25238002800745,9.538264931498652
91,S3,symptom_based_TTI,0.1,2.1655894951151082,6.547079856972586,1388.34,193.284,89.84400000000001,4424.88,131.832,50.592,28.38642503446401,9.247264891898126
92,S3,symptom_based_TTI,0.2,3.324286206202781,10.576281655342804,1369.296,192.72,90.05999999999999,4393.536,205.476,84.168,42.3978528339698,14.325914751922602
93,S3,symptom_based_TTI,0.2,3.3049557725566627,10.560093348891481,1371.6239999999998,188.364,90.636,4404.816,217.20000000000002,85.656,50.43630764616614,13.131362023888443
94,S3,symptom_based_TTI,0.3,4.250407369079789,15.850987432675044,1405.6560000000002,206.544,89.11200000000001,4595.328,317.844,128.13600000000002,81.67664991647118,22.80218151874091
95,S3,symptom_based_TTI,0.3,4.185833641575291,14.521739130434783,1300.0079999999998,191.676,89.52,4225.415999999999,284.568,124.368,58.647049394058584,19.527354565632006
96,S3,symptom_based_TTI,0.4,5.371013288601794,19.231224127735068,1356.984,184.98000000000002,90.50399999999999,4446.408,390.23999999999995,166.236,86.67480487226446,28.340593475427916
97,S3,symptom_based_TTI,0.4,6.869392722677843,22.274126702190646,1351.104,198.93599999999998,90.012,4539.936,451.452,176.364,102.02349307890756,33.83565521785799
98,S3,symptom_based_TTI,0.5,7.241686377356578,25.853529411764708,1362.912,202.368,89.47200000000001,4476.264,527.412,238.42800000000003,103.86975064695828,37.38384725496767
