,strategy,gov_policy,compliance,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
33,S1,test_based_TTI_test_contacts,0.6,2.1281524964117047,3.077019411396368,108.96000000000001,16.296,132.396,661.128,58.968,0.0,15.785712243526644,2.398373315239417
34,S1,test_based_TTI_test_contacts,0.7,1.967995005255808,3.2568140520896427,147.46800000000002,20.34,182.184,952.824,64.524,0.0,21.77493976737453,3.759143188497328
35,S1,test_based_TTI_test_contacts,0.7,1.8005631316824133,3.0984393757503,157.09199999999998,21.672,187.764,943.6560000000001,61.944,0.0,22.07307743127597,3.8740644401291724
36,S1,test_based_TTI_test_contacts,0.8,1.6223855667028624,3.2953864589574597,211.32,29.496,257.448,1218.0,66.0,0.0,27.21540010302814,6.291461767046893
37,S1,test_based_TTI_test_contacts,0.8,1.6593731383640424,3.1472581638940236,168.732,24.612000000000002,223.608,1150.272,61.29600000000001,0.0,23.486995204863295,5.491053552358569
38,S1,test_based_TTI_test_contacts,0.9,1.3608712593722776,3.1208092485549135,185.556,26.951999999999998,266.112,1431.48,64.78800000000001,0.0,29.94190076863503,6.594411886796494
39,S1,test_based_TTI_test_contacts,0.9,1.317219370280998,3.0529841656516443,194.232,32.364,275.772,1419.624,60.156,0.0,27.250339294056367,6.951170233926842
40,S2,no_TTI,0.5,2.4837031027542116,3.313549160671463,0.0,0.0,0.0,397.08000000000004,66.324,1.26,15.350198695271697,-6.661338147750939e-18
41,S2,no_TTI,0.5,2.240462283983356,3.215902140672783,0.0,0.0,0.0,427.416,63.096000000000004,0.84,18.298129988246558,-3.996802888650563e-18
42,S2,no_TTI,0.6,2.138011269128541,3.0848056537102475,0.0,0.0,0.0,541.224,62.85600000000001,0.888,18.403882380236837,1.199040866595169e-17
43,S2,no_TTI,0.6,2.1504213027646903,3.132275132275132,0.0,0.0,0.0,538.152,63.93600000000001,0.444,19.597600367967125,-2.6645352591003758e-18
44,S2,no_TTI,0.7,2.004061823319664,3.1387900355871885,0.0,0.0,0.0,701.976,63.504,0.48,22.477821190596533,2.7977620220553945e-17
45,S2,no_TTI,0.7,2.0168303305805364,3.0831826401446656,0.0,0.0,0.0,698.448,61.379999999999995,0.372,20.85694177880266,-1.7319479184152442e-17
46,S2,no_TTI,0.8,1.9179001308783497,3.300117924528302,0.0,0.0,0.0,881.472,67.164,1.4280000000000002,26.702896536363816,-2.9309887850104134e-17
47,S2,no_TTI,0.8,1.7836195615246098,3.089114832535885,0.0,0.0,0.0,870.312,61.98,0.576,25.6174571175702,-1.3322676295501878e-17
48,S2,no_TTI,0.9,1.5668500570137054,3.1543504171632897,0.0,0.0,0.0,1077.912,63.516,1.14,30.825907251972026,1.199040866595169e-17
49,S2,no_TTI,0.9,1.671291466253824,3.096048632218845,0.0,0.0,0.0,1034.8319999999999,61.116,0.876,27.248706456149506,-3.996802888650563e-18
50,S2,symptom_based_TTI,0.5,2.3074695797356237,3.174791914387634,1038.06,148.07999999999998,56.772000000000006,2163.672,64.08,0.8520000000000001,13.967609200227272,2.6864248023888773
51,S2,symptom_based_TTI,0.5,2.186775438409532,3.148497348261638,1048.332,147.66,56.232,2175.7200000000003,64.116,0.8999999999999999,15.43425246148563,3.2502525107426323
52,S2,symptom_based_TTI,0.6,2.02023431394729,3.200841852074564,1191.0240000000001,163.404,66.9,2980.08,63.876,0.708,18.56590308815457,4.28630094271329
53,S2,symptom_based_TTI,0.6,2.0032793015478516,3.2130434782608694,1224.3719999999998,178.416,67.44000000000001,3017.208,62.076,0.384,18.704199372920012,4.284444521175475
54,S2,symptom_based_TTI,0.7,1.743039245438042,3.0624256837098693,1383.9840000000002,197.78400000000002,77.916,3920.9759999999997,61.812,0.7799999999999999,20.78377134483174,5.066724525246814
55,S2,symptom_based_TTI,0.7,1.8239503015406522,3.3233532934131738,1453.872,213.108,78.72,4186.4400000000005,66.60000000000001,1.1880000000000002,23.02825487869335,5.831781078431976
56,S2,symptom_based_TTI,0.8,1.5668023773022859,3.153986609860012,1662.2759999999998,235.212,88.896,5059.992,62.184,0.6120000000000001,24.23245073377599,6.4484735953321275
57,S2,symptom_based_TTI,0.8,1.570697179463173,3.251366120218579,1643.856,220.164,89.592,5307.144,64.25999999999999,0.324,24.722151531127103,8.17058941396273
58,S2,symptom_based_TTI,0.9,1.2632297150879146,3.1702508960573477,1805.8200000000002,265.176,100.116,6496.392,63.684,0.048,29.607877211213275,8.652364272100726
59,S2,symptom_based_TTI,0.9,1.2845931807079687,3.3090024330900243,1834.2,254.88000000000002,100.848,6722.88,65.28,0.504,30.04937239014837,9.384173340844837
60,S2,test_based_TTI,0.5,2.3360087177284865,3.2534043812907045,106.584,12.288,56.604,1167.456,65.94,0.396,15.982886347515798,2.2148889615631715
61,S2,test_based_TTI,0.5,2.354608935988893,3.2388059701492535,104.976,13.608,55.02,1137.144,65.1,0.49200000000000005,15.380471850113732,1.8998885365094855
62,S2,test_based_TTI,0.6,2.101009680786999,3.1642055522740695,139.896,18.384,66.672,1755.2640000000001,64.28399999999999,0.204,18.18787611736526,3.2080112077660194
63,S2,test_based_TTI,0.6,2.023827473421862,3.1667684789248627,122.328,13.164000000000001,67.176,1581.888,62.208,0.792,18.838518949141566,2.821414162959354
