,strategy,gov_policy,age_prob,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
102,S3,test_based_TTI,0.25,1.2829054295469426,3.8616429894996913,137.94,18.6,90.50399999999999,2419.704,75.024,22.284,23.31237885871743,4.5033344560445725
103,S3,test_based_TTI,0.25,1.2671809723193153,4.0,156.924,22.512,90.52799999999999,2655.048,81.792,27.348,24.069713500179574,4.4629699778350895
104,S3,test_based_TTI,0.5,1.2030352923226273,3.568592057761733,134.772,17.424,90.096,2410.056,71.172,20.712,22.231986223006245,4.23467790691131
105,S3,test_based_TTI,0.5,1.3271192789788857,3.644776119402985,151.78799999999998,23.196,89.316,2581.632,73.26,22.259999999999998,19.78638969974744,4.5385127927769755
106,S3,test_based_TTI,0.75,1.1578405175519093,3.370612730517549,126.35999999999999,20.567999999999998,89.48400000000001,2302.752,67.992,21.216,19.301748986402405,4.118292093540503
107,S3,test_based_TTI,0.75,1.215599038229492,3.6612529002320184,130.272,18.252000000000002,89.12400000000001,2342.0879999999997,75.744,25.032,21.198427701522878,4.365259395585408
108,S3,test_based_TTI,1.0,1.1044366822843774,3.0586475164572113,106.272,13.224,90.0,2078.6639999999998,61.332,19.356,16.566347809191083,3.2634878376426064
109,S3,test_based_TTI,1.0,0.9386102006260918,3.296518607442977,108.648,16.896,89.976,2114.808,65.904,22.956,20.76112753397238,3.422177335110822
110,S3,test_based_TTI_test_contacts,0.0,1.4806520361984987,3.947953216374269,153.56400000000002,26.724,210.876,1061.976,81.012,22.488,23.128661754258623,5.012358462948164
111,S3,test_based_TTI_test_contacts,0.0,1.3566360116349057,3.7725295214418892,130.776,19.008000000000003,193.11599999999999,986.352,72.84,22.728,19.857892396647134,4.060179490706128
112,S3,test_based_TTI_test_contacts,0.25,1.3492599011059985,3.903341288782816,153.25199999999998,19.788,210.924,1086.432,78.504,24.456,22.453501421491858,4.458183447464309
113,S3,test_based_TTI_test_contacts,0.25,1.4308632197184374,3.9553039332538735,152.688,17.4,210.38400000000001,1107.36,79.64399999999999,23.472,22.435627592450004,4.924510615299521
114,S3,test_based_TTI_test_contacts,0.5,1.2039373441983654,3.622560975609756,117.54,18.18,183.048,1005.72,71.292,23.448,20.570384871158105,3.5801281950180885
115,S3,test_based_TTI_test_contacts,0.5,1.1124140399609688,3.4778443113772455,111.96000000000001,15.588,177.264,1036.464,69.696,23.94,19.926385540745805,3.5368370984364033
