,strategy,gov_policy,n_cases,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
54,S2,symptom_based_TTI,30000,1.6550728036503228,3.893866666666667,1096.932,173.852,57.392,14809.984,467.264,61.38399999999999,163.07756713248966,44.19369642947215
55,S2,symptom_based_TTI,30000,1.6532511007894908,3.8808333333333334,1076.8,164.288,57.22,14541.856000000002,465.7,62.136,161.33743370167315,43.83643420358892
56,S2,symptom_based_TTI,40000,1.6487215007768634,3.87995,1082.52,166.374,57.342,14629.356,465.594,59.745000000000005,164.50841630622557,43.49400360055209
57,S2,symptom_based_TTI,40000,1.660012402508919,3.8635,1065.012,167.079,57.813,14440.524,463.62,59.883,161.3506343190635,43.184877379867444
58,S2,symptom_based_TTI,50000,1.6586580765920846,3.90928,1082.1408,163.5336,57.7488,14605.617600000001,469.11359999999996,61.507200000000005,164.5412384825047,44.02619232644348
59,S2,symptom_based_TTI,50000,1.6560878680033635,3.883,1063.6464,166.0728,57.4824,14422.127999999999,465.96,61.2624,162.64963302193323,43.31742281766209
60,S2,test_based_TTI,10000,1.7478048878919872,3.9277,1090.788,173.57999999999998,57.228,14735.616,471.324,62.268,164.72841240244287,34.59100105052046
61,S2,test_based_TTI,10000,1.6968067326751581,3.8785,1062.6960000000001,159.324,57.576,14407.176,465.41999999999996,62.148,165.622410222348,34.032781856634955
62,S2,test_based_TTI,20000,1.7132116227855847,3.8585,1075.1039999999998,161.742,57.714,14539.896,463.02,62.31,160.81368097502497,34.31092429070676
63,S2,test_based_TTI,20000,1.7024661391269404,3.84135,1081.71,171.66000000000003,57.39,14582.652,460.962,61.92,160.06053448856088,34.685528816208496
64,S2,test_based_TTI,30000,1.727344724522635,3.874833333333333,1078.412,172.256,56.96,14588.896,464.97999999999996,59.444,163.90721656830166,34.34741648898491
65,S2,test_based_TTI,30000,1.7376959246958523,3.9107,1114.3880000000001,176.996,57.532,14977.256000000001,469.284,60.056,165.31882224029889,35.385666796202536
66,S2,test_based_TTI,40000,1.7255346431050267,3.848925,1065.897,161.82,57.762,14436.408,461.871,57.858000000000004,163.21307492544454,33.735767901954056
67,S2,test_based_TTI,40000,1.7279493218928863,3.868725,1057.776,162.31799999999998,57.425999999999995,14326.494,464.247,61.614,161.39828231207366,33.880799060782074
68,S2,test_based_TTI,50000,1.706092027639825,3.8641,1073.7408,169.6416,57.8424,14559.988800000001,463.692,61.663199999999996,163.27618727962613,34.02156940359138
69,S2,test_based_TTI,50000,1.7269881181883822,3.91752,1084.8503999999998,165.42239999999998,57.7872,14666.198400000001,470.1024,61.83120000000001,166.8965643617968,34.13606145559347
70,S2,test_based_TTI_test_contacts,10000,1.724647812174551,3.8672,1033.5240000000001,157.452,882.348,3848.376,464.064,57.072,166.88818113742767,33.1460814016277
71,S2,test_based_TTI_test_contacts,10000,1.7498886459755012,3.8683,1059.3719999999998,152.58,903.048,3872.472,464.196,62.268,159.01560334237752,32.925759140563976
72,S2,test_based_TTI_test_contacts,20000,1.74830444272242,3.92125,1078.008,167.436,920.8259999999999,3909.7920000000004,470.55,62.136,164.4008829028762,34.216583970435806
73,S2,test_based_TTI_test_contacts,20000,1.695884773488432,3.8874,1071.78,172.224,915.228,3904.6560000000004,466.488,61.68,167.14697281035765,34.154854371032854
74,S2,test_based_TTI_test_contacts,30000,1.7410829332237772,3.8885,1079.356,163.124,918.6360000000001,3876.624,466.62,62.64,161.11703787255175,33.933010140598284
75,S2,test_based_TTI_test_contacts,30000,1.7257820498731655,3.874033333333333,1074.9560000000001,173.42000000000002,916.4720000000001,3886.824,464.884,61.760000000000005,161.92166465650976,34.10848935871374
76,S2,test_based_TTI_test_contacts,40000,1.7211802548639008,3.8984,1090.14,169.029,928.959,3930.6299999999997,467.808,63.336000000000006,163.6997925746349,34.23057684169867
77,S2,test_based_TTI_test_contacts,40000,1.7329535205691415,3.86205,1071.075,170.466,913.299,3878.094,463.446,62.202,159.97867535469553,33.31090217700949
78,S2,test_based_TTI_test_contacts,50000,1.7239141773047502,3.89376,1090.1736,170.3856,929.5296,3914.9232,467.2512,59.724,165.97994635797568,34.6775523654503
79,S2,test_based_TTI_test_contacts,50000,1.7405695816694324,3.86726,1062.1992,164.9664,906.5712,3864.1584000000003,464.0712,60.340799999999994,161.1069059873418,33.755144212322605
80,S3,no_TTI,10000,1.6196815152900559,3.8745,0.0,0.0,0.0,2097.144,464.94,144.18,126.39821816519321,4.39648317751562e-17
81,S3,no_TTI,10000,1.5750918347452723,3.8661,0.0,0.0,0.0,2102.016,463.93199999999996,145.164,129.7569798305674,-6.927791673660977e-17
82,S3,no_TTI,20000,1.6393842339851192,3.89855,0.0,0.0,0.0,2090.088,467.826,139.85999999999999,131.23989192178564,-5.861977570020827e-17
83,S3,no_TTI,20000,1.5886674200862572,3.8959,0.0,0.0,0.0,2117.136,467.50800000000004,145.872,130.99590958964905,-5.5289106626332796e-17
84,S3,no_TTI,30000,1.589454988463501,3.8753333333333333,0.0,0.0,0.0,2086.2799999999997,465.04,143.24,131.0654013843803,8.526512829121202e-17
85,S3,no_TTI,30000,1.616132475729005,3.8834333333333335,0.0,0.0,0.0,2091.152,466.012,140.216,131.86010291251966,-2.0872192862952943e-17
86,S3,no_TTI,40000,1.5827599197185354,3.870775,0.0,0.0,0.0,2104.5780000000004,464.493,141.73499999999999,132.826809633776,2.5646151868841117e-17
87,S3,no_TTI,40000,1.5695335289605656,3.88955,0.0,0.0,0.0,2148.93,466.746,145.368,133.0339765247322,6.3282712403633925e-18
88,S3,no_TTI,50000,1.558252939511626,3.82174,0.0,0.0,0.0,2132.7264,458.60880000000003,139.176,132.442447258604,4.60964599824365e-17
89,S3,no_TTI,50000,1.5908013754843628,3.89044,0.0,0.0,0.0,2103.2592,466.8528,144.3528,131.60383494187562,4.5297099404706384e-17
90,S3,symptom_based_TTI,10000,1.2868281830154955,3.8208,808.4639999999999,118.92,57.264,11349.743999999999,458.49600000000004,143.232,129.58480736488622,31.259810673254727
91,S3,symptom_based_TTI,10000,1.3352579373196525,4.0051,893.604,128.28,57.912,12377.568,480.61199999999997,149.472,133.78908741514752,37.119960106494936
92,S3,symptom_based_TTI,20000,1.3059090580765407,3.8512,876.726,127.10399999999998,57.174,12156.06,462.144,141.87,128.61553242009907,34.94938061071667
93,S3,symptom_based_TTI,20000,1.2651269010764687,3.8612,850.8240000000001,126.78,57.906,11884.824,463.34400000000005,143.076,134.96361711054956,33.48915476027473
94,S3,symptom_based_TTI,30000,1.3100273597144265,3.8845666666666667,870.364,127.18400000000001,57.28,12087.88,466.148,140.764,132.59808405493598,35.58263277933371
95,S3,symptom_based_TTI,30000,1.2989966769665227,3.9234666666666667,862.52,126.48400000000001,57.424,11984.0,470.816,147.44799999999998,133.35172770533768,34.136671058680214
96,S3,symptom_based_TTI,40000,1.294803695468816,3.89595,869.5200000000001,120.96900000000001,57.54,12030.9,467.514,144.558,132.59856291104106,34.98099363270249
97,S3,symptom_based_TTI,40000,1.3002629061212232,3.881875,851.2800000000001,122.598,57.3,11843.832,465.825,146.418,129.63380993227557,33.741641333178734
98,S3,symptom_based_TTI,50000,1.2962948688059626,3.8901,863.8152,128.10479999999998,57.9144,12026.784000000001,466.812,144.4824,132.86963278157643,33.90458296170872
99,S3,symptom_based_TTI,50000,1.2939504357465388,3.86126,855.9216,120.91680000000001,57.0072,11867.3856,463.3512,141.936,131.7200488367788,34.42109887363737
100,S3,test_based_TTI,10000,1.3573311640647983,3.9451,862.524,124.23600000000002,58.236000000000004,12025.944,473.41200000000003,151.104,132.4204414288889,27.00781888333624
101,S3,test_based_TTI,10000,1.3797969214498786,3.891,820.9200000000001,124.71599999999998,56.94,11466.672,466.92,141.312,133.00734198640615,27.025027439609545
102,S3,test_based_TTI,20000,1.3651186023134312,3.85735,876.12,124.77600000000001,57.738,12137.412,462.882,141.32399999999998,130.49975092714075,27.24401679524948
103,S3,test_based_TTI,20000,1.3740152624333877,3.8402,858.522,130.82999999999998,56.97,11945.808,460.82399999999996,140.958,128.5108298220868,26.473338685908672
104,S3,test_based_TTI,30000,1.3580684542224315,3.8973666666666666,864.312,125.568,57.228,12011.439999999999,467.68399999999997,147.8,129.94469729739856,26.971088195912184
105,S3,test_based_TTI,30000,1.3476669740924574,3.8623666666666665,879.26,124.06400000000001,57.396,12164.04,463.484,142.216,132.23414870151433,27.313814407392826
106,S3,test_based_TTI,40000,1.3292802540126294,3.8392,848.541,123.216,57.807,11860.212,460.704,142.158,132.4159669459498,26.616402572537176
107,S3,test_based_TTI,40000,1.3694865522734614,3.921725,875.1329999999999,124.734,57.543,12117.21,470.60699999999997,147.441,131.7517660138565,27.07584771333121
108,S3,test_based_TTI,50000,1.3547733671581867,3.90982,875.0184,124.104,57.8712,12154.3296,469.1784,148.38479999999998,130.90034422430008,27.32045171671922
109,S3,test_based_TTI,50000,1.345727089563597,3.85522,871.008,125.63999999999999,57.564,12103.358400000001,462.6264,142.71359999999999,131.20993471750674,27.215614534863803
110,S3,test_based_TTI_test_contacts,10000,1.3702387212814322,3.8898,837.324,114.408,716.892,3421.5840000000003,466.776,148.308,127.29639874326097,26.742954702968074
111,S3,test_based_TTI_test_contacts,10000,1.3531457250046761,3.8176,826.368,106.5,710.0519999999999,3458.592,458.112,144.38400000000001,125.2267681829217,26.123744816518045
