,strategy,gov_policy,wfh,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
54,S2,symptom_based_TTI,0.5,1.3891668919182592,3.8344331133773246,1386.138,205.63799999999998,89.628,4553.052000000001,76.704,18.654,24.28765488192425,5.973450612142875
55,S2,symptom_based_TTI,0.5,1.3575042880510215,4.003384615384616,1444.1399999999999,218.244,90.618,4862.388,78.066,18.12,26.616931916306537,6.857734466698493
56,S2,symptom_based_TTI,0.75,1.2686933910253566,3.7625037436358193,1210.1039999999998,184.938,89.742,4037.652,75.378,25.932,19.210577701100434,4.81841890309754
57,S2,symptom_based_TTI,0.75,1.1704109622247538,3.787215152411956,1153.218,178.794,90.036,3929.724,76.78200000000001,27.12,21.338931339419986,4.5941568124353465
58,S2,symptom_based_TTI,1.0,0.9897250213984163,3.7942840130991367,912.27,142.854,89.568,3348.3599999999997,76.47,34.266000000000005,18.223748086881827,4.033333831854484
59,S2,symptom_based_TTI,1.0,1.0328897220810815,3.931263189629183,933.972,142.84799999999998,89.69399999999999,3474.024,78.24000000000001,34.728,18.487338073514373,4.468090677627928
60,S2,test_based_TTI,0.0,1.9553089992475698,3.8713290947623373,187.224,28.554,89.634,2998.968,76.722,1.8960000000000001,30.09487336968389,5.9808128832277765
61,S2,test_based_TTI,0.0,1.8893084671746145,3.876778686042991,220.35,30.012,89.346,3362.7000000000003,76.83,1.524,31.181223288672296,6.682461508861204
62,S2,test_based_TTI,0.25,1.6594910047222964,3.8286670724284844,181.57199999999997,27.773999999999997,89.532,2924.616,75.486,10.794,26.433782793911416,5.53969255698374
63,S2,test_based_TTI,0.25,1.8129500075401157,3.7641843971631204,179.862,23.148,89.004,2882.868,76.428,9.84,24.362745480811512,5.415117566094014
64,S2,test_based_TTI,0.5,1.4830214743643861,3.832542975696503,147.798,24.564,89.47800000000001,2537.832,77.586,18.318,24.19849485109358,5.04721842187375
65,S2,test_based_TTI,0.5,1.4602306644218204,3.870848708487085,150.96599999999998,24.036,89.88,2562.672,75.52799999999999,17.238,25.073380063781094,4.724599212020272
66,S2,test_based_TTI,0.75,1.258515488609409,4.168609865470852,133.488,19.782,90.17999999999999,2381.1839999999997,83.664,30.689999999999998,23.400748138677464,4.314846004931631
67,S2,test_based_TTI,0.75,1.3678285770474548,4.103160405485987,135.564,19.764000000000003,89.25,2385.684,82.572,29.994,20.926126322969555,4.125691392527434
68,S2,test_based_TTI,1.0,1.0407276130788454,3.926749703440095,112.81800000000001,16.716,89.142,2118.3,79.446,36.071999999999996,18.900582511232194,3.4174164209565787
69,S2,test_based_TTI,1.0,1.0870096033508725,3.782310899344848,96.61800000000001,17.028,89.09400000000001,1947.636,76.206,33.972,17.07155967646935,3.261370835217246
70,S2,test_based_TTI_test_contacts,0.0,1.9174643993438214,3.87318401937046,204.294,32.436,252.516,1157.172,76.78200000000001,1.854,30.42301178403522,6.493173963372821
71,S2,test_based_TTI_test_contacts,0.0,1.8412109143410456,3.802325581395349,203.904,33.156,252.63600000000002,1164.828,76.518,1.104,31.930979346082843,6.43049221371792
72,S2,test_based_TTI_test_contacts,0.25,1.7528151301625985,3.964875412788952,180.618,25.734,233.604,1112.5320000000002,79.242,10.464,28.114257719345105,5.631979089225209
73,S2,test_based_TTI_test_contacts,0.25,1.7352181602486658,3.8911097852028638,175.96200000000002,27.552,230.772,1104.828,78.258,10.416,27.41357929112221,5.529713069956658
74,S2,test_based_TTI_test_contacts,0.5,1.5193225356780915,3.7748502994011974,150.012,23.094,210.282,1077.3719999999998,75.648,17.825999999999997,22.651670708970332,4.723105676040698
75,S2,test_based_TTI_test_contacts,0.5,1.5034581846493276,3.9030009093664746,151.35,23.772,210.69,1076.412,77.256,18.666,24.255809458106576,4.574739234944626
76,S2,test_based_TTI_test_contacts,0.75,1.3077916730499795,3.8899109792284867,139.776,22.272,201.744,1062.144,78.654,27.216,20.701681718959716,4.292770651969693
77,S2,test_based_TTI_test_contacts,0.75,1.3448841990602292,3.973071104387292,128.85600000000002,19.416,192.138,1036.032,78.786,26.682,21.07887949024816,4.3560668423874365
78,S2,test_based_TTI_test_contacts,1.0,1.04644075776925,3.787278727872787,96.156,13.998000000000001,166.506,992.664,75.738,34.608,17.311162603783643,2.892115122346841
79,S2,test_based_TTI_test_contacts,1.0,1.0605442341617026,3.9080282989849278,100.092,16.266000000000002,168.09,973.5360000000001,76.23,35.147999999999996,17.03467459564184,3.3603495727999384
80,S3,no_TTI,0.0,2.011457556870012,3.781725888324873,0.0,0.0,0.0,809.928,75.99,7.92,27.651771852254015,1.9984014443252816e-18
81,S3,no_TTI,0.0,2.0996451544606733,4.002080856123662,0.0,0.0,0.0,827.16,80.778,9.612,28.7867622023658,5.3290705182007515e-18
82,S3,no_TTI,0.25,1.723810172526005,3.6619343389529724,0.0,0.0,0.0,830.436,74.286,16.572,22.744786840137515,-1.3322676295501879e-18
