,strategy,gov_policy,mt,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
89,S4,test_based_TTI,False,1.1969592145582284,3.928193054738081,0.0,16.704,89.616,1007.184,80.088,38.303999999999995,16.69478677243604,0.685608761150796
90,S4,test_based_TTI_test_contacts,True,0.9632072392745522,4.222748815165877,95.14800000000001,14.112,164.328,984.048,85.536,44.208,18.68520351037205,3.1320706508826426
91,S4,test_based_TTI_test_contacts,True,1.0068238082769778,3.727382388419783,101.44800000000001,12.324,168.684,992.664,74.16,35.699999999999996,15.483360352659272,2.944873157861997
92,S4,test_based_TTI_test_contacts,True,1.0318947143212052,3.748803827751196,109.41600000000001,15.168000000000001,175.416,1011.5999999999999,75.21600000000001,34.704,16.221262017830263,3.586802434029097
93,S4,test_based_TTI_test_contacts,False,1.0865132262144277,3.823565700185071,0.0,13.8,99.62400000000001,829.992,74.376,37.62,15.29801395243105,0.3231307712459034
94,S4,test_based_TTI_test_contacts,False,1.1193362031982246,3.9083382613837965,0.0,13.116,99.648,860.64,79.308,38.256,17.93667095736691,0.40175880733471575
95,S4,test_based_TTI_test_contacts,False,1.131643503692018,3.974080771549126,0.0,18.432,104.064,853.68,79.116,38.4,17.58455916982702,0.60268195867228
96,S5,no_TTI,True,0.7734305508346588,4.091240875912408,0.0,0.0,90.252,827.688,80.712,52.464,12.989762093133852,-2.2648549702353192e-17
97,S5,no_TTI,True,0.74250721608076,3.796652200867948,0.0,0.0,89.544,822.192,73.488,46.92,12.19603032554081,-1.5987211554602253e-17
98,S5,no_TTI,True,0.7826672152876735,3.8184004810583283,0.0,0.0,89.568,811.2959999999999,76.2,49.128,11.453093051719188,7.993605777301126e-18
99,S5,no_TTI,False,0.7846508485400129,3.9405311778290995,0.0,0.0,0.0,821.04,81.9,52.704,12.887816763944373,-6.128431095930865e-17
100,S5,no_TTI,False,0.839615843181714,3.9376947040498442,0.0,0.0,0.0,798.48,75.84,48.852000000000004,10.816998860320185,-3.996802888650563e-18
101,S5,no_TTI,False,0.8407900276378586,3.7798780487804877,0.0,0.0,0.0,803.3040000000001,74.388,46.2,11.641252256086947,-5.3290705182007515e-18
102,S5,symptom_based_TTI,True,0.6503583774183073,4.003567181926278,500.268,72.49199999999999,89.208,2151.072,80.80799999999999,53.483999999999995,12.084071790582506,2.1130947196063805
103,S5,symptom_based_TTI,True,0.573513157697927,3.645406670567583,503.26800000000003,74.208,88.92,2216.328,74.76,48.936,11.764308467260083,2.2980836946708303
104,S5,symptom_based_TTI,True,0.6829242500804247,3.9493284493284495,511.86,70.404,89.47200000000001,2158.92,77.628,49.26,12.608560334898833,2.3358806055203405
105,S5,symptom_based_TTI,False,0.7368556577596332,3.9317904993909867,0.0,79.836,89.952,1019.4959999999999,77.472,51.888,10.661312601168518,0.4036835183356706
106,S5,symptom_based_TTI,False,0.7835226376549941,3.9798411728772143,0.0,76.63199999999999,89.364,999.6479999999999,78.17999999999999,50.232000000000006,12.292481305905293,0.264
107,S5,symptom_based_TTI,False,0.7328597584811298,3.9072929542645243,0.0,74.4,90.012,1011.12,75.864,48.540000000000006,12.875173440508505,0.21962148882188176
108,S5,test_based_TTI,True,0.6747052096102896,4.076196101594802,53.688,6.816000000000001,90.012,1437.96,82.81200000000001,52.932,14.40180441739045,1.7708845441669219
109,S5,test_based_TTI,True,0.7043471200306018,3.7712700369913685,56.327999999999996,8.676,87.996,1436.616,73.404,47.507999999999996,10.667644115506112,1.518943540218261
110,S5,test_based_TTI,True,0.6277622439454073,3.7446043165467624,51.168,8.424,89.16,1404.0240000000001,74.952,49.836,11.074974659451662,1.4757362657370747
111,S5,test_based_TTI,False,0.7447849836548797,3.8534641324340897,0.0,7.68,89.184,885.384,75.41999999999999,48.576,12.072879060640702,0.19418923926599485
112,S5,test_based_TTI,False,0.7514235225367893,3.644760213143872,0.0,6.288,89.84400000000001,883.944,73.872,47.532000000000004,10.873464383401137,0.2366836618232263
113,S5,test_based_TTI,False,0.7717064898033923,3.8649740334679747,0.0,10.08,89.4,938.184,80.37599999999999,52.464,11.500247615395732,0.3633442226529251
114,S5,test_based_TTI_test_contacts,True,0.6887613419754962,3.949090909090909,57.18,7.152,135.216,905.4240000000001,78.192,50.22,12.621271289897718,1.7132541389874762
115,S5,test_based_TTI_test_contacts,True,0.6884094186283648,4.046135410425404,59.843999999999994,10.488000000000001,136.968,907.6800000000001,81.036,51.912,13.217578336689668,2.118957827021451
116,S5,test_based_TTI_test_contacts,True,0.7045241200763637,3.9341864716636197,53.46,8.856,132.17999999999998,931.1519999999999,77.472,50.124,11.682433626917316,1.7920774005389435
117,S5,test_based_TTI_test_contacts,False,0.808634667948209,3.8954326923076925,0.0,9.696,96.132,820.368,77.784,50.136,11.148499311888,0.3526836385221602
118,S5,test_based_TTI_test_contacts,False,0.8409008860936444,3.919753086419753,0.0,7.164000000000001,94.92,835.9680000000001,76.2,46.236,13.347224543207165,0.2696622311323893
119,S5,test_based_TTI_test_contacts,False,0.7637203305073114,4.023823704586063,0.0,6.528,94.86,833.328,81.072,52.5,12.97523454505614,0.2093282358825532
